Experiment,Sentence,Item,Condition,Question,AnswerL,AnswerR,Correct
MovingProc8,The architect/built/the monument/for two years/after/the city/had finally provided/the money for it.,1,1,What did the city provide money for?,A monument,A gallery,L
MovingProc8,The architect/built/the monument/within two years/after/the city/had finally provided/the money for it.,1,2,What did the city provide money for?,A monument,A gallery,L
MovingProc8,The architect/was building/the monument/for two years/after/the city/had finally provided/the money for it.,1,3,What did the city provide money for?,A monument,A gallery,L
MovingProc8,The cook/made/the African beef stew/for two hours/after/he/had planned/the menu.,2,1,Who planned the menu?,The restaurant manager,The cook,R
MovingProc8,The cook/made/the African beef stew/within two hours/after/he/had planned/the menu.,2,2,Who planned the menu?,The restaurant manager,The cook,R
MovingProc8,The cook/was making/the African beef stew/for two hours/after/he/had planned/the menu.,2,3,Who planned the menu?,The restaurant manager,The cook,R
MovingProc8,The artist/painted/the picture/for more than three days/after/he/had finally signed/the contract.,3,1,What did the artist do before painting? ,Sign a contract,Write a letter,L
MovingProc8,The artist/painted/the picture/within three days/after/he/had finally signed/the contract.,3,2,What did the artist do before painting? ,Sign a contract,Write a letter,L
MovingProc8,The artist/was painting/the picture/for more than three days/after/he/had finally signed/the contract.,3,3,What did the artist do before painting? ,Sign a contract,Write a letter,L
MovingProc8,The mechanic/changed/the tire/for ten minutes/after/he/had finished/his lunch break.,4,1,When did the mechanic start changing the tire? ,After breakfast,After lunch break,R
MovingProc8,The mechanic/changed/the tire/within ten minutes/after/he/had finished/his lunch break.,4,2,When did the mechanic start changing the tire? ,After breakfast,After lunch break,R
MovingProc8,The mechanic/was changing/the tire/for ten minutes/after/he/had finished/his lunch break.,4,3,When did the mechanic start changing the tire? ,After breakfast,After lunch break,R
MovingProc8,Simon/drank/the wine/for more than half an hour/after/he had/turned on/the television.,5,1,What kind of drink did Simon have? ,Wine,Beer,L
MovingProc8,Simon/drank/the wine/within half an hour/after/he had/turned on/the television.,5,2,What kind of drink did Simon have? ,Wine,Beer,L
MovingProc8,Simon/was drinking/the wine/for more than half an hour/after/he had/turned on/the television.,5,3,What kind of drink did Simon have? ,Wine,Beer,L
MovingProc8,The president/delivered/the address/for half an hour/as soon as/he had/entered/the hall.,6,1,Who delivered the address?,The chancellor,The president,R
