"Experiment","Sentence","Item","List","Content","No","Yes","Group","Question","AnswerL","AnswerR","Correct"
"MovingProc8","The architect*built*the monument*for two years*after*the city*had finally provided*the money for it.",1,1,"content question","yes = 1","no = 5",1,"What did the city provide money for?","A monument","A gallery","L"
"MovingProc8","The architect*built*the monument*within two years*after*the city*had finally provided*the money for it.",1,2,"content question","yes = 1","no = 5",2,"What did the city provide money for?","A monument","A gallery","L"
"MovingProc8","The architect*was building*the monument*for two years*after*the city*had finally provided*the money for it.",1,3,"content question","yes = 1","no = 5",3,"What did the city provide money for?","A monument","A gallery","L"
"MovingProc8","The cook*made*the African beef stew*for two hours*after*he*had planned*the menu.",2,1,"content question","yes = 1","no = 5",2,"Who planned the menu?","The restaurant manager","The cook","R"
"MovingProc8","The cook*made*the African beef stew*within two hours*after*he*had planned*the menu.",2,2,"content question","yes = 1","no = 5",3,"Who planned the menu?","The restaurant manager","The cook","R"
"MovingProc8","The cook*was making*the African beef stew*for two hours*after*he*had planned*the menu.",2,3,"content question","yes = 1","no = 5",1,"Who planned the menu?","The restaurant manager","The cook","R"
"MovingProc8","The artist*painted*the picture*for more than three days*after*he*had finally signed*the contract.",3,1,"content question","yes = 1","no = 5",3,"What did the artist do before painting?","Sign a contract","Write a letter","L"
"MovingProc8","The artist*painted*the picture*within three days*after*he*had finally signed*the contract.",3,2,"content question","yes = 1","no = 5",1,"What did the artist do before painting?","Sign a contract","Write a letter","L"
"MovingProc8","The artist*was painting*the picture*for more than three days*after*he*had finally signed*the contract.",3,3,"content question","yes = 1","no = 5",2,"What did the artist do before painting?","Sign a contract","Write a letter","L"
"MovingProc8","The mechanic*changed*the tire*for ten minutes*after*he*had finished*his lunch break.",4,1,"content question","yes = 1","no = 5",1,"When did the mechanic start changing the tire?","After breakfast","After lunch break","R"
"MovingProc8","The mechanic*changed*the tire*within ten minutes*after*he*had finished*his lunch break.",4,2,"content question","yes = 1","no = 5",2,"When did the mechanic start changing the tire?","After breakfast","After lunch break","R"
"MovingProc8","The mechanic*was changing*the tire*for ten minutes*after*he*had finished*his lunch break.",4,3,"content question","yes = 1","no = 5",3,"When did the mechanic start changing the tire?","After breakfast","After lunch break","R"
